reading images completed in: 0.0336442 seconds.
img 277: Izmit1999_13.jpg score: 4.48614 / 9
img 278: Izmit1999_14.jpg score: 4.63146 / 9
img 279: Izmit1999_15.jpg score: 0.355394 / 1
img 280: Izmit1999_16.jpg score: 1.29622 / 4
img 281: Izmit1999_17.jpg score: 0.0325581 / 1
img 282: Izmit1999_18.jpg score: 0.398301 / 2
img 283: Izmit1999_19.jpg score: 1.30116 / 4
img 284: Kobe1995_01.jpg score: 0.0417226 / 1
img 285: Kobe1995_02.jpg score: 0.768925 / 1
img 286: Kobe1995_03.jpg score: 0.594748 / 1
img 287: Kobe1995_04.jpg score: 0.629996 / 1
img 288: Kobe1995_05.jpg score: 2.59325 / 5
img 289: Kobe1995_06.jpg score: 0.700848 / 2
img 290: Kobe1995_07.jpg score: 17.8817 / 26
img 291: Kobe1995_08.jpg score: 0.36147 / 1
img 292: Kobe1995_09.jpg score: 1.24615 / 4
img 293: SanSalvador_1986_01.jpg score: 0.128692 / 2
img 294: SanSalvador_1986_02.jpg score: 6.36754 / 9
img 295: SikkimIndia2001_01.jpg score: 0.0121212 / 1
img 296: SikkimIndia2001_02.jpg score: 4.49038 / 8
img 297: SikkimIndia2001_03.jpg score: 0.897538 / 3
img 298: SikkimIndia2001_04.jpg score: 0.929579 / 3
img 299: SumatraInd2009_01.jpg score: 0.787271 / 1
img 300: SumatraInd2009_02.jpg score: 0 / 1
img 301: WhittierNarrows1987_01.jpg score: 0.491939 / 1
img 302: WhittierNarrows1987_02.jpg score: 0.0190948 / 1
img 303: WhittierNarrows1987_03.jpg score: 0.225088 / 1
img 304: WhittierNarrows1987_04.jpg score: 0.874653 / 3
img 305: YogyakartaInd2006_01.jpg score: 0.91589 / 3
img 306: YogyakartaInd2006_02.jpg score: 1.45907 / 3
img 307: Anchorage1964_01.jpg score: 0.813502 / 2
img 308: Anchorage1964_02.jpg score: 11.3595 / 19
img 309: Anchorage1964_03.jpg score: 2.03001 / 3
img 310: Anchorage1964_04.jpg score: 30.7639 / 39
img 311: Anchorage1964_05.jpg score: 17.7151 / 29
img 312: Anchorage1964_06.jpg score: 1.40305 / 3
img 313: Anchorage1964_07.jpg score: 4.28294 / 9
img 314: Anchorage1964_08.jpg score: 3.03683 / 6
img 315: Anchorage1964_09.jpg score: 7.98761 / 19
img 316: Anchorage1964_10.jpg score: 1.57833 / 4
img 317: Anchorage1964_11.jpg score: 4.11791 / 8
img 318: Anchorage1964_12.jpg score: 2.79445 / 5
img 319: Anchorage1964_13.jpg score: 1.77176 / 3
img 320: Anchorage1964_14.jpg score: 6.81946 / 12
img 321: Anchorage1964_15.jpg score: 5.21551 / 9
img 322: Anchorage1964_16.jpg score: 1.78492 / 6
img 323: Anchorage1964_17.jpg score: 0.310715 / 3
img 324: Anchorage1964_18.jpg score: 5.93977 / 10
img 325: Anchorage1964_19.jpg score: 11.7132 / 18
img 326: Anchorage1964_20.jpg score: 2.08083 / 5
img 327: Anchorage1964_21.jpg score: 1.72926 / 4
img 328: Bingol2003_01.jpg score: 10.771 / 19
img 329: Bingol2003_02.jpg score: 2.70391 / 8
img 330: Bingol2003_03.jpg score: 1.79342 / 7
img 331: Bingol2003_04.jpg score: 4.19432 / 8
img 332: CanterburyNZSeries2010_01.jpg score: 0.0242215 / 1
img 333: CanterburyNZSeries2010_02.jpg score: 1.36166 / 2
img 334: CanterburyNZSeries2010_03.jpg score: 0.0787936 / 1
img 335: CanterburyNZSeries2010_04.jpg score: 4.58323 / 8
img 336: CanterburyNZSeries2010_05.jpg score: 0.469279 / 2
img 337: CanterburyNZSeries2010_06.jpg score: 0.519989 / 2
img 338: CanterburyNZSeries2010_08.jpg score: 2.55713 / 4
img 339: CanterburyNZSeries2010_09.jpg score: 0.533918 / 2
img 340: CanterburyNZSeries2010_10.jpg score: 1.06179 / 4
img 341: CanterburyNZSeries2010_11.jpg score: 0 / 2
img 342: CanterburyNZSeries2010_12.jpg score: 1.13075 / 4
img 343: CanterburyNZSeries2010_13.jpg score: 0.973796 / 2
img 344: Caracas1967_01.jpg score: 2.1933 / 4
img 345: Caracas1967_02.jpg score: 2.34168 / 4
img 346: Caracas1967_03.jpg score: 3.18422 / 6
img 347: Caracas1967_04.jpg score: 1.34016 / 3
img 348: Caracas1967_05.jpg score: 4.231 / 10
img 349: Caracas1967_06.jpg score: 0.965529 / 2
img 350: Caracas1967_07.jpg score: 3.24459 / 7
img 351: Caracas1967_08.jpg score: 1.97396 / 3
img 352: Caracas1967_09.jpg score: 1.75572 / 4
img 353: Caracas1967_10.jpg score: 1.88052 / 4
img 354: Caracas1967_11.jpg score: 1.51572 / 3
